weapon_category,dual_use,rationale
capital ships a,0,Washington Naval Treaty category; purely military
capital ships b,0,Washington Naval Treaty category; purely military
firearm,0,Small arms; on military goods list; not dual-use
ammunition,0,Military ammunition; not in dual-use list
explosive,1,1C239 and 1A007/1A008 — high explosives and energetic materials are in the dual-use list; civilian uses in mining/demolition/construction
related material,0,Vague category; in context of conventional arms control refers to military materials
conventional weapon,0,Generic military category; on military goods list not dual-use list
abm interceptor missile,0,ABM Treaty category; purely military
abm launcher,0,ABM Treaty category; purely military
abm radar,0,ABM Treaty category; purely military
non-abm missiles launchers and radar,0,Military systems; purely military
early warning radar,0,Military early-warning system; ABM Treaty context; purely military
automatic or semi-automatic rapid reload systems for abm launcher,0,ABM Treaty military equipment; purely military
abm interceptor missiles (destruction procedures only),0,ABM Treaty category; purely military
abm lauchers (destruction procedures only),0,ABM Treaty category; purely military
abm radars (destruction procedures only),0,ABM Treaty category; purely military
abm radar complexes (destruction procedures only),0,ABM Treaty category; purely military
air defense component,0,Military air defense; on military goods list
air defense radar,0,Military radar; on military goods list
phased array radars(3m+),0,ABM Treaty restricted military radar; purely military (dual-use list 6A008 covers different radar systems)
phased array radars(3m-),0,ABM Treaty military radar category; purely military
space-based interseptor missiles other than strategic ballistic missile,0,Military space weapon; purely military
strategic offensive arm,0,START Treaty category covering nuclear weapons systems; purely military
prototype icbm,0,Military prototype; purely military
test launchers of icbm,0,Military test equipment; purely military
mobile launchers of prototype icbm,0,Military launcher; purely military
silo training launcher,0,Military training equipment; purely military
prototype slbm,0,Military prototype; purely military
test launchers of slbm,0,Military test equipment; purely military
test heavy bomber,0,Military aircraft; purely military
icbm warhead,0,Nuclear warhead; purely military
slbm warhead,0,Nuclear warhead; purely military
heavy bomber nuclear armaments/warhead,0,Nuclear warhead; purely military
icbms equipped with mirv,0,Strategic nuclear missiles; purely military
new types of icbm,0,Strategic nuclear missiles; purely military
fixed icbm launcher,0,Military launcher; purely military
launchers for icbms equipped with mirv,0,Military launcher; purely military
icbm silo launcher,0,Military silo; purely military
launchers of light icbms (or icbms of older types deployed prior to 1964),0,Military launchers; purely military
launchers for slbms equipped with mirv,0,Military launchers; purely military
asbm,0,Air-to-surface ballistic missile; purely military
asbms equipped with mirv,0,Military missile; purely military
cruise missile,0,Military weapon; on military goods list
non-icbm land-based ballistic missile launcher,0,Military launcher; purely military
systems for rapid reload of icbm launcher,0,Military system; purely military
icbms of a retired or former type,0,Military missiles; purely military
icbm equipped with mirv,0,Strategic nuclear missile; purely military
icbms for mobile launchers of icbm,0,Strategic nuclear missiles; purely military
slbms of a retired or former type,0,Military missiles; purely military
slbm equipped with mirv,0,Strategic nuclear missile; purely military
heavy slbm,0,Strategic nuclear missile; purely military
heavy icbm launcher,0,Military launcher; purely military
silo launchers of icbm,0,Military silos; purely military
silo launchers of heavy icbm,0,Military silos; purely military
rail mobile launchers of icbm,0,Military launchers; purely military
launchers of heavy slbm,0,Military launchers; purely military
former heavy bomber,0,Military aircraft; purely military
heavy bombers equipped for nuclear armaments other than long-range nuclear alcm,0,Military aircraft; purely military
heavy bombers equipped for non-nuclear armament,0,Military aircraft; purely military
warheads attributed to deployed icbms and deployed slbm,0,Nuclear warheads; purely military
warheads attributed to deployed icbms on mobile launchers of icbm,0,Nuclear warheads; purely military
warheads attributed to deployed heavy bomber,0,Nuclear warheads; purely military
mobile launchers of heavy icbm,0,Military launchers; purely military
transporter loader,0,Military support equipment; purely military
soft site launcher,0,Military launcher; purely military
silos used as a launch control center,0,Military infrastructure; purely military
rapid reload system,0,Military system; purely military
ballistic missile,0,Military weapon; purely military
launchers of ballistic missile,0,Military launchers; purely military
systems for placing nuclear weapons into earth orbit,0,Military space weapon; purely military
long-range nuclear alcm,0,Nuclear air-launched cruise missile; purely military
aicrafts other than airplanes (8000 km+ range),0,Military aircraft category (START Treaty); purely military
aicrafts not intially constructed as bombers (8000 km+ range),0,Military aircraft category (START Treaty); purely military
training heavy bomber,0,Military aircraft; purely military
naval vessel,0,Military/naval vessel; on military goods list
fixed structures for rail mobile launchers of icbm,0,Military infrastructure; purely military
test launcher,0,Military test equipment; purely military
ammunition and component,0,Military ammunition; not in dual-use list
biological weapon,0,The weapon itself is prohibited (BWC); biological AGENTS are dual-use but the weapon is not
dual-use goods and technologie,1,This category IS the dual-use goods list itself
theater missile defence system,0,Military defense system; purely military
non-abm system,0,Military system; purely military
bacteriological methods of warfare,0,Prohibited warfare methods (BWC); purely military
(category 1) arms ammunition and implements of war exclusively designed and intended for land sea and aerial warfare,0,Category explicitly states 'exclusively designed for warfare' — by definition not dual-use
(category 2) arms and ammunition capable of use both for military and other purpose,1,Category explicitly states 'capable of use both for military and other purpose' — this is the definition of dual-use
(category 3) vessels of war and their armament,0,Military vessels and armaments; on military goods list
category iv(aircrafts and aircrafts compenents),1,Aircraft components including engines (9A001/9A002) and avionics (Category 7) are explicitly in the dual-use list
category v(gunpowder and explosives other),1,Explosives and propellants have significant civilian uses (mining/demolition/industry); covered in 1C239 and 1C111 of the dual-use list
ballistic missile flight test,0,Military test activity; purely military
nuclear test explosion,0,Military/weapons test; purely military
explosive projectile,0,Military ordnance; not dual-use as a weapons category
arms of war,0,Generic military weapons; purely military
parts of gun,0,Military firearm parts; on military goods list
ammunition of any nature (loaded or unloaded),0,Military ammunition; not in dual-use list
powder,0,In historical treaty context refers to gunpowder/propellant for weapons; not dual-use as classified
saltpeter,0,Potassium nitrate; while used in agriculture/food it is not specifically listed in the dual-use document as a controlled item
gun cotton,0,Nitrocellulose; industrial uses exist but not specifically listed in dual-use document as a weapon category
nitroglycerin,0,Explosive; while used medically/industrially it is not specifically listed in dual-use document as a weapon category
compositions destined exclusively for the manufacture of ammunition,0,Explicitly 'exclusively' for ammunition — by definition not dual-use
sporting arm,0,Civilian firearms; not in dual-use list (dual-use list does not cover firearms)
sporting arms ammunition,0,Civilian ammunition; not in dual-use list
high-priced arm,0,Firearms; not in dual-use list
high-priced arms ammunition,0,Ammunition; not in dual-use list
german armed force,0,Treaty of Versailles category for German military forces; not a goods category
rifle,0,Small arm; on military goods list; not in dual-use list
carbine,0,Small arm; on military goods list; not in dual-use list
rounds for rifles and carbine,0,Military ammunition; not in dual-use list
heavy machine gun,0,Military weapon; on military goods list
light machine gun,0,Military weapon; on military goods list
rounds for light and heavy machine gun,0,Military ammunition; not in dual-use list
medium trench mortar,0,Military weapon; on military goods list
rounds for medium trench mortar,0,Military ammunition; not in dual-use list
light trench mortar,0,Military weapon; on military goods list
rounds for light trench mortar,0,Military ammunition; not in dual-use list
7.7 gun,0,Military artillery; on military goods list
rounds for 7.7 gun,0,Military ammunition; not in dual-use list
10.5 gun,0,Military artillery; on military goods list
rounds for 10.5 gun,0,Military ammunition; not in dual-use list
armoured cars tanks and similiar construction,0,Military vehicles; on military goods list
asphyxiating poisonous or other gases and all analogous liquid,1,Versailles Treaty category broadly covering toxic chemicals; subset (phosgene/HCN/chloropicrin) explicitly in 1C450 of dual-use list due to legitimate industrial uses
fortification,0,Military infrastructure; not a goods category in dual-use list
battleship,0,Military vessel (Washington Naval Treaty); purely military
torpedo boat,0,Military vessel; purely military
other warship,0,Military vessel; purely military
auxiliary cruisers and fleet auxiliarie,0,Military vessels; purely military
submarines (and related vessels and docks),0,Military submarines and infrastructure; on military goods list
minesweeping vessel,0,Military vessel; purely military
air force,0,Military organization; not a goods category
dirigible,0,Airships; not controlled in dual-use list as a weapon category
aircrafts (incl. their parts and engines),1,Aircraft engines (9A001/9A002) and parts are in Category 9 of the dual-use list; avionics/instruments in Category 7
nacelles and fuselage,0,Airframe structures; not specifically listed in dual-use list as a controlled category
instruments for use on aircraft (incl. wireless apparatus and photographic or cinematographic apparatus),1,Navigation instruments and avionics are in Category 7 of the dual-use list; sensors in Category 6
navy,0,Military organization; not a goods category
heavy bomber aircraft,0,Military aircraft; purely military
chemical weapons munitions devices and container,0,CWC destruction category; purely military weapons items
chemical weapons storage facilitie,0,CWC destruction category; purely military
laser,1,6A005 — lasers are extensively controlled in Category 6 of the dual-use list due to industrial/medical/scientific civilian uses alongside military potential
personel/equipment of armed force,0,Military personnel/equipment; not a dual-use goods category
space launch vehicle,1,9A004 — space launch vehicles are explicitly listed in Category 9 of the dual-use list
